Tile,preds,composite,date,LST_Mask,S2_Mask,ET_var,Mask_Name,name_var,vmax,vmin,vp25,vp50,vp75,vlenght
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,ndvi,0.9303174,-0.3304904,0.40483178198337555,0.6814520359039307,0.7919694185256958,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,ndvi,0.8880346,0.2789391,0.5950886607170105,0.6998292207717896,0.7729255259037018,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,ndvi,0.9303174,-0.3304904,0.4048321843147278,0.6814520359039307,0.7919694185256958,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,ndvi_pos,0.8880346,0.2789391,0.5954946279525757,0.6998292207717896,0.7732412219047546,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,ndvi_pos,0.9303174,0.0,0.40498681366443634,0.6815313696861267,0.7919950485229492,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,ndvi_pos,0.8880346,0.2789391,0.5950886607170105,0.6998292207717896,0.7729255259037018,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,ndvi_pos,0.9303174,0.0,0.404987096786499,0.6815313696861267,0.7919951677322388,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,resistanceD,11.780321,2.8497689,5.958461284637451,7.598203659057617,9.01564884185791,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,resistanceD,13.0,0.6888493,3.821212649345398,7.279724597930908,9.41777229309082,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,resistanceD,11.780321,2.8497689,5.952830791473389,7.598203659057617,9.009022235870361,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,resistanceD,13.0,0.6888493,3.8212162852287292,7.279724597930908,9.41777229309082,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,resistanceZ,2.2654464,0.54803246,1.1458579301834106,1.4611929655075073,1.7337785959243774,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,resistanceZ,2.5,0.13247101,0.7348486036062241,1.3999470472335815,1.811110019683838,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,resistanceZ,2.2654464,0.54803246,1.144775152206421,1.4611929655075073,1.7325042486190796,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,resistanceZ,2.5,0.13247101,0.7348493039608002,1.3999470472335815,1.811110019683838,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,slope_sub,28,0,1.0,2.0,7.0,997
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,WhereNOT0,slope_sub,35,0,1.0,1.0,4.0,2248444
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,Where0,slope_sub,28,0,1.0,2.0,7.0,995
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Canopy,WhereNOT0,slope_sub,35,0,1.0,1.0,4.0,2248446
X64_Y42,S2only,minVZA,23-07-2019,no,yes,Soil,Where0,vapor_pressure,19.168612,18.937523,19.0933895111084,19.117385864257812,19.12409210205078,997
